ISOLATE	Address	GENT	predicted_phenotype
0081K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0081K.fasta	0	0
0081L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0081L.fasta	0	1
0081M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0081M.fasta	0	0
0082B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0082B.fasta	0	0
0082C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0082C.fasta	0	0
0089A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089A.fasta	1	0
0089B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089B.fasta	0	0
0089C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089C.fasta	0	0
0089D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089D.fasta	1	0
0089E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089E.fasta	0	0
0089I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089I.fasta	1	0
0089K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089K.fasta	NA	1
0089L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089L.fasta	0	0
0089M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0089M.fasta	0	0
0093C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0093C.fasta	0	0
0093J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0093J.fasta	0	0
0096B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0096B.fasta	0	0
0096J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0096J.fasta	1	0
0096K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0096K.fasta	0	0
0103B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0103B.fasta	0	0
0103C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0103C.fasta	0	0
0104A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0104A.fasta	0	0
0104C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0104C.fasta	0	0
0113I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0113I.fasta	0	0
0117B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0117B.fasta	0	0
0117D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0117D.fasta	0	0
0117E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0117E.fasta	0	0
0117I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0117I.fasta	0	0
0117K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0117K.fasta	1	0
0117L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0117L.fasta	0	1
0117M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0117M.fasta	0	0
0119B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0119B.fasta	0	0
0121I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0121I.fasta	0	0
0121J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0121J.fasta	0	0
0121K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0121K.fasta	0	0
0124A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0124A.fasta	0	0
0124C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0124C.fasta	0	0
0124I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0124I.fasta	0	0
0124J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0124J.fasta	0	0
0124K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0124K.fasta	0	0
0124M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0124M.fasta	0	0
0125I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0125I.fasta	0	0
0126C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0126C.fasta	0	0
0127I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0127I.fasta	0	0
0134A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134A.fasta	0	0
0134B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134B.fasta	0	0
0134C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134C.fasta	0	0
0134E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134E.fasta	0	0
0134I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134I.fasta	0	0
0134J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134J.fasta	0	0
0134K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134K.fasta	0	1
0134L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134L.fasta	0	0
0134M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0134M.fasta	0	0
0135A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0135A.fasta	0	0
0135B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0135B.fasta	0	0
0135C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0135C.fasta	0	0
0137A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137A.fasta	0	0
0137B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137B.fasta	1	0
0137C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137C.fasta	0	0
0137D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137D.fasta	0	0
0137E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137E.fasta	0	0
0137I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137I.fasta	0	0
0137J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137J.fasta	1	0
0137K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137K.fasta	1	0
0137L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137L.fasta	1	0
0137M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0137M.fasta	1	1
0138A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0138A.fasta	0	0
0138B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0138B.fasta	0	0
0138C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0138C.fasta	0	0
0138D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0138D.fasta	0	0
0139J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0139J.fasta	0	0
0140C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0140C.fasta	0	0
0141A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0141A.fasta	0	0
0141B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0141B.fasta	0	0
0141C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0141C.fasta	0	0
0141D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0141D.fasta	0	0
0141E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0141E.fasta	0	0
0141I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0141I.fasta	1	0
0141K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0141K.fasta	0	0
0141L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0141L.fasta	1	0
0142B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0142B.fasta	0	0
0142D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0142D.fasta	0	0
0145I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0145I.fasta	0	0
0145J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0145J.fasta	0	0
0145K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0145K.fasta	0	0
0145M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0145M.fasta	0	0
0146A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0146A.fasta	0	0
0146B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0146B.fasta	0	0
0146C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0146C.fasta	0	0
0146D	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0146D.fasta	0	0
0147A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147A.fasta	0	1
0147B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147B.fasta	0	0
0147C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147C.fasta	0	0
0147E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147E.fasta	0	0
0147I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147I.fasta	0	0
0147J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147J.fasta	0	1
0147K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147K.fasta	0	0
0147L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147L.fasta	1	1
0147M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0147M.fasta	0	0
0148A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0148A.fasta	0	0
0152A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0152A.fasta	0	0
0152E	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0152E.fasta	0	0
0152I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0152I.fasta	0	0
0152J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0152J.fasta	0	0
